14,1 1:6.70999817214e-07 2:1.95461328041e-12 3:3.64608953989e-08 4:1.3066068395e-12 5:0.171918397457 6:0.00400401142928 7:1.82970034762e-05 9:19.961676
15,1 1:2.60001178618e-06 2:-3.16479606792e-11 3:-1.2190620556e-07 4:2.41546580524e-11 5:0.170526104395 6:0.00334689949317 7:9.01808924274e-05 9:21.260196
16,1 1:4.54391804092e-07 2:1.1092317498e-12 3:2.58875139609e-08 4:-2.00569840007e-13 5:0.169883644038 6:0.00337554753145 7:1.3543326827e-05 9:17.960704
17,1 1:8.53207418338e-07 2:3.40508167022e-14 3:4.26764199713e-09 4:-6.1717056989e-12 5:0.168757409023 6:0.00274217673279 7:6.13281364058e-05 9:17.166488
18,1 1:2.79200900932e-08 2:-7.85141109709e-15 3:-8.27614800681e-10 4:-6.74984475022e-16 5:0.162285421746 6:0.000899319822713 7:2.85327068392e-06 9:14.911048
19,1 1:1.70506064585e-07 2:-1.87122292953e-13 3:-1.00106208295e-08 4:-3.20460684078e-14 5:0.170340602459 6:0.00344772094032 7:7.27086049283e-06 9:16.634484
20,1 1:1.00463056328e-06 2:-1.69643237053e-12 3:-2.34798898324e-08 4:5.12027068708e-12 5:0.175323627689 6:0.00515447017445 7:2.86945896893e-05 9:19.839848
21,1 1:1.21274607379e-07 2:-9.20856363897e-14 3:-4.36403206776e-09 4:7.82059962264e-14 5:0.165312806204 6:0.00183068916521 7:8.18318755729e-06 9:16.844248
22,1 1:3.38564590412e-07 2:-8.2582544492e-13 3:-1.84398699235e-08 4:-6.09809281639e-14 5:0.169321566501 6:0.00313877840104 7:1.76690647029e-05 9:18.53848
23,1 1:2.50323143953e-07 2:-1.4362392032e-13 3:-1.42111632643e-09 4:-5.05882464626e-13 5:0.166567593367 6:0.00218266813318 7:1.76304191379e-05 9:16.2748
24,1 1:2.2758144947e-07 2:3.86946618841e-14 3:2.45019834549e-09 4:-3.04924685478e-13 5:0.170006849436 6:0.00333159936546 7:8.01516535031e-06 9:16.423624
