93,2 2:-0.820192290326 3:-0.811150800874 4:-0.725048398532 9:-0.459406753129
94,2 2:-0.960764628653 3:-0.782287736773 4:-0.598628173041 9:-0.683620722955
95,2 2:-0.963280095372 3:-0.781371724251 4:-0.590294358844 9:-0.825645964912
96,2 2:-0.958829137697 3:-0.782902227241 4:-0.614916919533 9:-0.898436718596
97,2 2:-0.96526282666 3:-0.783067278131 4:-0.584736173719 9:-0.998668027866
98,2 2:-0.967562009494 3:-0.784183534441 4:-0.62818319395 9:-0.905297497638
99,2 2:-0.877866320621 3:-0.79954263712 4:-0.65842929222 9:-0.372090101904
100,3 2:-0.784924678496 3:-0.873690474537 4:-0.507941504254 9:-0.74827360555
101,3 2:-0.711687027785 3:-0.837534253298 4:-0.369586363016 9:-0.436015769878
102,3 2:-0.756770516192 3:-0.906392101485 4:-0.627360346848 9:-0.630142005127
103,3 2:-0.366603778901 3:-0.856720091623 4:-0.440050602098 9:-0.496957668507
104,3 2:-0.411650944916 3:-0.691502056851 4:0.112293185746 9:-0.630729382835
105,3 2:-0.70599964605 3:-0.901779657542 4:-0.709440878203 9:-0.73274340628
106,3 2:-0.876571888038 3:-0.847932433513 4:-0.27009023779 9:-0.913259415244
107,3 2:-0.846933540352 3:-0.882916651489 4:-0.512887173656 9:-0.570057516075
108,3 2:-0.864304526405 3:-0.838554854667 4:-0.328679411591 9:-0.723253794217
109,3 2:-0.275213444921 3:-0.420906049654 4:0.226139658644 9:0.0159875707216
110,3 2:-0.844420125107 3:-0.894599669682 4:-0.526002738805 9:-0.435814727062
111,3 2:1.0 3:0.081521541083 4:0.691164395134 9:0.0448187021866
112,3 2:-0.930925469261 3:-0.858258223934 4:-0.423771322567 9:-0.957882667493
113,3 2:-0.962399471804 3:-0.86007584111 4:-0.485890734788 9:-0.955395481146
114,3 2:-0.843844729338 3:-0.862624509119 4:-0.448039016951 9:-0.769927241775
115,3 2:-0.976959274863 3:-0.859290573957 4:-0.460020589099 9:-0.961404260176
116,3 2:-0.601599895565 3:-0.795576819776 4:-0.290722043134 9:-0.40409738908
117,3 2:-0.735404906837 3:-0.846631313962 4:-0.366494683901 9:-0.775439334166
118,3 2:-0.934048829554 3:-0.862650834833 4:-0.503694222616 9:-0.901635111514
119,3 2:-0.890716615148 3:-0.85486572391 4:-0.368693541397 9:-0.855779372865
120,3 2:-1.0 3:-0.858604499474 4:-0.432876161125 9:-1.0
