file_name	count	rms	stddev	var	sum	extrema	median	sum2	mean	centroid	orientation	hu
../image/10022011/kps0018.jpg	250000	116.768421365	43.9048063246	1927.6320184	27049991.0	(18, 162)	133	3408716057.0	108.199964	(250.82397854296551, 251.25582944220514)	-0.251449985007	(0.0018400133828573645, 7.5186475108530773e-09, 8.2889293567928075e-13, 8.9677530914439247e-13, -4.586245674508763e-25, -6.5715215997057208e-17, -6.2245842966738779e-25)
../image/10022011/kps0020.jpg	250000	132.304117925	43.1743772454	1864.02685053	31265349.0	(8, 180)	145	4376094905.0	125.061396	(247.99576609819894, 240.74535158031244)	0.0404471801958	(0.0015405076979104104, 2.8889614060128172e-09, 4.8672674527405496e-13, 5.0822795318388047e-12, 5.1293704449544616e-24, -2.2238614424409046e-16, 6.1305524464804208e-24)
../image/10022011/kps0005.jpg	250000	123.889747566	48.1138436909	2314.94195472	28541338.0	(0, 171)	141	3837167388.0	114.165352	(250.4274373255362, 249.51091668751795)	-0.128145101295	(0.0017476473157542619, 8.4713995814777537e-09, 2.3697164074174529e-13, 2.4975874503651427e-13, 5.2787538213831004e-26, -1.4040465065205805e-17, 3.0090672184263814e-26)
../image/10022011/cn0007.jpg	250000	131.973617636	44.1115792981	1945.83142818	31095824.0	(22, 178)	147	4354258938.0	124.383296	(257.32906641869937, 255.60104885325421)	-0.019789457601	(0.0015543730103640243, 1.1682792396826366e-09, 1.3395124055029299e-12, 8.9485530489716614e-12, -1.6983094414198828e-23, 1.6455167584197086e-17, -2.5911937998232432e-23)
../image/10022011/kps0001.jpg	250000	122.962584456	55.7855203665	3112.02428256	27394996.0	(0, 175)	138	3779949294.0	109.579984	(261.17261879360558, 246.34911607808814)	-0.261768300748	(0.0018680600535744495, 1.1121286704847763e-08, 6.6553111017921769e-12, 2.9183796722221982e-11, 3.812696708101017e-22, 3.0772800020172453e-15, 1.4161785453051338e-22)
../image/10022011/kps0010.jpg	250000	128.346833385	39.5676818887	1565.60145004	30523872.0	(19, 176)	141	4118227410.0	122.095488	(250.42643991439155, 240.89120902609224)	-0.105290368524	(0.0015596342681596968, 3.3217915087289483e-09, 4.1518496681473502e-13, 5.9839464484424215e-12, 7.2905550548162373e-24, -3.2773447680987967e-16, -5.9841326217038076e-24)
../image/10022011/cn0027.jpg	250000	137.012798337	43.1495988443	1861.88788042	32510209.0	(21, 184)	151	4693126727.0	130.040836	(255.62683406813753, 251.40020732648046)	-0.0221397067611	(0.0014771955363707737, 1.7480235824264784e-09, 5.3056263913741e-13, 2.7252253589309873e-12, 3.1856846226645341e-24, 1.1310575158786627e-16, -7.680632118903019e-25)
../image/10022011/kps0027.jpg	250000	136.331928483	40.5545850353	1644.67436739	32540091.0	(27, 178)	150	4646598681.0	130.160364	(253.89848815761857, 247.02554447680552)	-0.117760350259	(0.0014618769988070316, 2.4469592083204114e-09, 7.7290716866217503e-13, 2.3487264331547126e-12, 2.0781658065751288e-24, 1.1532137178041579e-16, 2.3865498396786228e-24)
../image/10022011/kps0023.jpg	250000	131.738204436	41.8987476443	1755.50505416	31224439.0	(7, 175)	146	4338738627.0	124.897756	(251.73125393218197, 245.23500762782731)	-0.13986401967	(0.0015377726896856679, 3.3904433547361603e-09, 2.6369543126395051e-13, 1.7506172042979594e-12, -8.2608090666971083e-25, -3.1156120331692351e-17, -8.5576215559659622e-25)
../image/10022011/cn0015.jpg	250000	126.200910266	48.6025927007	2362.21201723	29116638.0	(5, 181)	133	3981667438.0	116.466552	(253.13599026443998, 260.34254885357228)	-0.393176081986	(0.0017226748480189868, 4.6952335267398404e-10, 2.8859032806310788e-12, 1.0554064569539785e-11, -1.8958625265699992e-23, -2.2623763325079495e-16, 5.5074819957790219e-23)
